Date, Close/Last, Volume, Open, High, Low
09/17/2020,$423.43,76779160,415.6,$437.79,$408.00
09/16/2020,$441.76,72546760,439.87,$457.79,$435.31
09/15/2020,$449.76,97298230,436.56,$461.94,$430.70
09/14/2020,$419.62,83020610,380.95,$420,$373.30
09/11/2020,$372.72,60717460,381.94,$382.50,$360.50
09/10/2020,$371.34,84930610,386.21,$398.99,$360.56
09/09/2020,$366.28,79465770,356.6,$369,$341.51
09/08/2020,$330.21,115465700,356,$368.74,$329.88
09/04/2020,$418.32,110321900,402.81,$428,$372.02
09/03/2020,$407,87596090,407.23,$431.80,$402
09/02/2020,$447.37,96176130,478.99,$479.04,$405.12
09/01/2020,$475.05,90119420,502.14,$502.49,$470.51
08/31/2020,$498.32,118374400,444.61,$500.14,$440.11
08/28/2020,$442.68,100405900,459.02,$463.70,$437.30
08/27/2020,$447.75,118465200,436.09,$459.12,$428.50
08/26/2020,$430.63,71196900,412,$433.20,$410.73
08/25/2020,$404.67,53294450,394.98,$405.59,$393.60
08/24/2020,$402.84,100318100,425.26,$425.80,$385.50
08/21/2020,$410.00,107447800,408.95,$419.10,$405.01
08/20/2020,$400.37,103059000,372.14,$404.40,$371.41
08/19/2020,$375.71,61026650,373,$382.20,$368.24
08/18/2020,$377.42,82372450,379.8,$384.78,$369.02
08/17/2020,$367.13,101211600,335.4,$369.17,$334.57
